store_id,store_name,format,size_sqm,gmv_trimestre,num_transacciones,gmv_por_m2,transacciones_por_m2,ticket_promedio,ranking_en_formato,flag_rendimiento
TIENDA_032,Tienda Quetzaltenango 32,DESCUENTO,961,132140.46999999994,468,137.5,0.487,282.35,1,OK
TIENDA_035,Tienda Masaya 35,DESCUENTO,1003,133487.92,490,133.09,0.4885,272.42,2,OK
TIENDA_028,Tienda Tegucigalpa 28,DESCUENTO,963,124258.71999999999,441,129.03,0.4579,281.77,3,OK
TIENDA_026,Tienda Cartago 26,DESCUENTO,1024,125242.99,434,122.31,0.4238,288.58,4,OK
TIENDA_024,Tienda Santa Ana 24,DESCUENTO,1052,124381.51000000005,475,118.23,0.4515,261.86,5,OK
TIENDA_033,Tienda La Ceiba 33,DESCUENTO,1069,123792.92000000006,456,115.8,0.4266,271.48,6,OK
TIENDA_029,Tienda San Salvador 29,DESCUENTO,1190,133761.38,472,112.4,0.3966,283.39,7,OK
TIENDA_025,Tienda León 25,DESCUENTO,1398,124297.33999999991,454,88.91,0.3247,273.78,8,OK
TIENDA_027,Tienda Quetzaltenango 27,DESCUENTO,1573,137899.08999999997,470,87.67,0.2988,293.4,9,OK
TIENDA_034,Tienda Sonsonate 34,DESCUENTO,1691,143382.83999999988,470,84.79,0.2779,305.07,10,BAJO_RENDIMIENTO
TIENDA_031,Tienda San José 31,DESCUENTO,1587,116283.94999999997,452,73.27,0.2848,257.27,11,BAJO_RENDIMIENTO
TIENDA_030,Tienda Masaya 30,DESCUENTO,1794,120292.19000000003,474,67.05,0.2642,253.78,12,BAJO_RENDIMIENTO
TIENDA_037,Tienda Quetzaltenango 37,EXPRESS,257,83267.53999999995,285,324.0,1.1089,292.17,1,OK
TIENDA_038,Tienda Tegucigalpa 38,EXPRESS,323,86029.72000000003,291,266.35,0.9009,295.63,2,OK
TIENDA_039,Tienda San Salvador 39,EXPRESS,448,75055.699999999953,272,167.54,0.6071,275.94,3,OK
TIENDA_036,Tienda Heredia 36,EXPRESS,506,82079.089999999982,272,162.21,0.5375,301.76,4,OK
TIENDA_040,Tienda Managua 40,EXPRESS,537,81276.179999999949,312,151.35,0.581,260.5,5,BAJO_RENDIMIENTO
TIENDA_005,Tienda Masaya 5,HIPERMERCADO,4108,402809.24999999953,1481,98.05,0.3605,271.98,1,OK
TIENDA_003,Tienda La Ceiba 3,HIPERMERCADO,4356,399817.93000000046,1436,91.79,0.3297,278.42,2,OK
TIENDA_008,Tienda San Pedro Sula 8,HIPERMERCADO,4881,427675.28000000026,1461,87.62,0.2993,292.73,3,OK
TIENDA_004,Tienda San Salvador 4,HIPERMERCADO,4383,377673.49999999965,1407,86.17,0.321,268.42,4,OK
TIENDA_006,Tienda Cartago 6,HIPERMERCADO,5839,376648.94000000012,1386,64.51,0.2374,271.75,5,OK
TIENDA_001,Tienda San José 1,HIPERMERCADO,7037,401852.79000000044,1380,57.11,0.1961,291.2,6,OK
TIENDA_007,Tienda Guatemala City 7,HIPERMERCADO,6859,386458.35000000009,1371,56.34,0.1999,281.88,7,BAJO_RENDIMIENTO
TIENDA_002,Tienda Guatemala City 2,HIPERMERCADO,7016,384519.45999999915,1413,54.81,0.2014,272.13,8,BAJO_RENDIMIENTO
TIENDA_017,Tienda Escuintla 17,SUPERMERCADO,1646,209065.43,725,127.01,0.4405,288.37,1,OK
TIENDA_013,Tienda Tegucigalpa 13,SUPERMERCADO,1642,208258.67999999991,736,126.83,0.4482,282.96,2,OK
TIENDA_014,Tienda San Salvador 14,SUPERMERCADO,1663,207585.83000000002,745,124.83,0.448,278.64,3,OK
TIENDA_011,Tienda San José 11,SUPERMERCADO,1661,204405.81000000011,736,123.06,0.4431,277.73,4,OK
TIENDA_016,Tienda Alajuela 16,SUPERMERCADO,1929,208911.88000000027,716,108.3,0.3712,291.78,5,OK
TIENDA_009,Tienda San Salvador 9,SUPERMERCADO,1698,183189.43000000014,735,107.89,0.4329,249.24,6,OK
TIENDA_019,Tienda Santa Ana 19,SUPERMERCADO,2052,207572.75999999992,750,101.16,0.3655,276.76,7,OK
TIENDA_023,Tienda La Ceiba 23,SUPERMERCADO,2310,226905.70000000039,770,98.23,0.3333,294.68,8,OK
TIENDA_021,Tienda San José 21,SUPERMERCADO,2321,223635.65000000002,804,96.35,0.3464,278.15,9,OK
TIENDA_015,Tienda León 15,SUPERMERCADO,2428,197854.95999999996,719,81.49,0.2961,275.18,10,OK
TIENDA_010,Tienda Masaya 10,SUPERMERCADO,3152,222075.79000000039,764,70.46,0.2424,290.68,11,OK
TIENDA_018,Tienda Tegucigalpa 18,SUPERMERCADO,2993,204337.83000000016,754,68.27,0.2519,271.01,12,BAJO_RENDIMIENTO
TIENDA_020,Tienda Masaya 20,SUPERMERCADO,3226,208556.37,727,64.65,0.2254,286.87,13,BAJO_RENDIMIENTO
TIENDA_012,Tienda Escuintla 12,SUPERMERCADO,3313,196953.32000000021,744,59.45,0.2246,264.72,14,BAJO_RENDIMIENTO
TIENDA_022,Tienda Guatemala City 22,SUPERMERCADO,3294,184690.10000000033,713,56.07,0.2165,259.03,15,BAJO_RENDIMIENTO
